return_id,order_item_id,reason,status,refunded_amount,created_at,updated_at
1,40,buyer_remorse,refunded,2495.16,2024-07-08 15:15:42+00,2024-07-10 15:15:42+00
2,124,damaged,refunded,276.32,2024-07-09 08:49:36+00,2024-07-11 08:49:36+00
3,264,buyer_remorse,refunded,1118.65,2024-07-10 18:15:23+00,2024-07-12 18:15:23+00
4,299,defective,refunded,56.6,2024-07-11 19:46:58+00,2024-07-13 19:46:58+00
5,392,defective,refunded,237.18,2024-07-12 22:23:53+00,2024-07-14 22:23:53+00
6,529,size_fit,refunded,311.29,2024-07-13 19:32:51+00,2024-07-15 19:32:51+00
7,557,damaged,refunded,268.93,2024-07-13 04:44:46+00,2024-07-15 04:44:46+00
8,558,damaged,refunded,1428.55,2024-07-13 02:43:57+00,2024-07-15 02:43:57+00
9,632,defective,refunded,483.87,2024-07-14 01:39:16+00,2024-07-16 01:39:16+00
10,650,buyer_remorse,refunded,243.37,2024-07-14 12:38:30+00,2024-07-16 12:38:30+00
11,727,damaged,refunded,195.95,2024-07-14 02:13:56+00,2024-07-16 02:13:56+00
12,731,damaged,refunded,422.52,2024-07-15 02:14:43+00,2024-07-17 02:14:43+00
13,750,defective,refunded,984.79,2024-07-15 09:01:09+00,2024-07-17 09:01:09+00
14,763,damaged,refunded,136.05,2024-07-15 20:11:25+00,2024-07-17 20:11:25+00
15,793,damaged,refunded,454.87,2024-07-15 12:09:29+00,2024-07-17 12:09:29+00
16,803,wrong_item,refunded,206.01,2024-07-15 18:05:38+00,2024-07-17 18:05:38+00
17,823,buyer_remorse,refunded,1326.18,2024-07-16 02:17:39+00,2024-07-18 02:17:39+00
18,891,buyer_remorse,refunded,129.83,2024-07-16 02:40:36+00,2024-07-18 02:40:36+00
19,892,buyer_remorse,refunded,95.98,2024-07-16 08:58:26+00,2024-07-18 08:58:26+00
20,933,wrong_item,refunded,299.88,2024-07-17 23:38:33+00,2024-07-19 23:38:33+00
21,1060,damaged,refunded,179.39,2024-07-18 14:31:52+00,2024-07-20 14:31:52+00
22,1074,buyer_remorse,refunded,189.12,2024-07-18 00:23:21+00,2024-07-20 00:23:21+00
23,1161,defective,refunded,301.96,2024-07-19 02:08:44+00,2024-07-21 02:08:44+00
24,1196,wrong_item,refunded,251.22,2024-07-19 20:59:00+00,2024-07-21 20:59:00+00
25,1222,late_delivery,refunded,188.86,2024-07-20 13:10:34+00,2024-07-22 13:10:34+00
26,1249,defective,refunded,50.11,2024-07-20 13:40:40+00,2024-07-22 13:40:40+00
27,1311,defective,refunded,31.1,2024-07-20 10:37:41+00,2024-07-22 10:37:41+00
28,1344,damaged,refunded,152.78,2024-07-21 07:47:51+00,2024-07-23 07:47:51+00
