review_id,product_id,customer_id,rating,title,comment,created_at,updated_at
1,224,2303,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-07 05:50:06+00,2024-07-07 05:50:06+00
2,104,272,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-07 20:18:34+00,2024-07-07 20:18:34+00
3,167,8737,4,Very Good,"Good value for money, functions well.",2024-07-07 01:42:39+00,2024-07-07 01:42:39+00
4,424,5562,3,Average,Decent but has some minor issues.,2024-07-07 08:32:50+00,2024-07-07 08:32:50+00
5,143,4320,4,Very Good,"Good value for money, functions well.",2024-07-07 11:46:04+00,2024-07-07 11:46:04+00
6,275,6437,3,Average,Decent but has some minor issues.,2024-07-07 13:39:29+00,2024-07-07 13:39:29+00
7,256,10396,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-07 06:12:50+00,2024-07-07 06:12:50+00
8,334,9647,1,Awful product,"Stopped working after two days, avoid!",2024-07-07 18:21:51+00,2024-07-07 18:21:51+00
9,344,1588,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-07 21:10:01+00,2024-07-07 21:10:01+00
10,350,4348,3,Average,Decent but has some minor issues.,2024-07-07 12:28:23+00,2024-07-07 12:28:23+00
11,229,6214,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-07 17:39:52+00,2024-07-07 17:39:52+00
12,409,9881,4,Very Good,"Good value for money, functions well.",2024-07-07 22:49:27+00,2024-07-07 22:49:27+00
13,91,3699,4,Very Good,"Good value for money, functions well.",2024-07-08 09:04:40+00,2024-07-08 09:04:40+00
14,157,8333,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-08 04:25:21+00,2024-07-08 04:25:21+00
15,269,3737,4,Very Good,"Good value for money, functions well.",2024-07-08 04:41:36+00,2024-07-08 04:41:36+00
16,260,7260,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-08 21:26:34+00,2024-07-08 21:26:34+00
17,452,5613,4,Very Good,"Good value for money, functions well.",2024-07-08 01:51:39+00,2024-07-08 01:51:39+00
18,120,4052,3,Average,Decent but has some minor issues.,2024-07-08 09:05:10+00,2024-07-08 09:05:10+00
19,150,4344,4,Very Good,"Good value for money, functions well.",2024-07-08 08:58:31+00,2024-07-08 08:58:31+00
20,69,4130,3,Average,Decent but has some minor issues.,2024-07-08 21:49:07+00,2024-07-08 21:49:07+00
21,257,9401,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-08 23:21:23+00,2024-07-08 23:21:23+00
22,142,1674,4,Very Good,"Good value for money, functions well.",2024-07-08 10:20:34+00,2024-07-08 10:20:34+00
23,65,2806,4,Very Good,"Good value for money, functions well.",2024-07-08 18:32:50+00,2024-07-08 18:32:50+00
24,24,7774,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-08 14:13:38+00,2024-07-08 14:13:38+00
25,299,3136,1,Awful product,"Stopped working after two days, avoid!",2024-07-08 15:57:34+00,2024-07-08 15:57:34+00
26,169,8544,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-08 13:40:25+00,2024-07-08 13:40:25+00
27,280,6264,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-08 04:19:20+00,2024-07-08 04:19:20+00
28,214,2420,4,Very Good,"Good value for money, functions well.",2024-07-08 17:43:20+00,2024-07-08 17:43:20+00
29,61,3423,4,Very Good,"Good value for money, functions well.",2024-07-09 06:28:02+00,2024-07-09 06:28:02+00
30,291,8741,4,Very Good,"Good value for money, functions well.",2024-07-09 21:41:17+00,2024-07-09 21:41:17+00
31,373,10227,4,Very Good,"Good value for money, functions well.",2024-07-09 21:02:09+00,2024-07-09 21:02:09+00
32,179,6493,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-09 18:26:24+00,2024-07-09 18:26:24+00
33,19,9018,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-09 01:09:11+00,2024-07-09 01:09:11+00
34,340,8283,4,Very Good,"Good value for money, functions well.",2024-07-09 13:26:05+00,2024-07-09 13:26:05+00
35,375,520,4,Very Good,"Good value for money, functions well.",2024-07-09 23:58:47+00,2024-07-09 23:58:47+00
36,153,8531,3,Average,Decent but has some minor issues.,2024-07-09 09:50:30+00,2024-07-09 09:50:30+00
37,516,9233,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-09 20:49:29+00,2024-07-09 20:49:29+00
38,385,924,3,Average,Decent but has some minor issues.,2024-07-09 15:50:15+00,2024-07-09 15:50:15+00
39,358,3478,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-09 12:53:48+00,2024-07-09 12:53:48+00
40,17,3234,3,Average,Decent but has some minor issues.,2024-07-09 20:28:07+00,2024-07-09 20:28:07+00
41,297,5981,2,Disappointed,"Not as described, quality is subpar.",2024-07-09 04:23:51+00,2024-07-09 04:23:51+00
42,62,1440,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-09 05:20:34+00,2024-07-09 05:20:34+00
43,44,5329,4,Very Good,"Good value for money, functions well.",2024-07-09 08:05:24+00,2024-07-09 08:05:24+00
44,347,4418,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-09 17:37:17+00,2024-07-09 17:37:17+00
45,463,1885,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-09 12:15:30+00,2024-07-09 12:15:30+00
46,165,3260,3,Average,Decent but has some minor issues.,2024-07-09 10:12:18+00,2024-07-09 10:12:18+00
47,18,9755,2,Disappointed,"Not as described, quality is subpar.",2024-07-09 03:26:15+00,2024-07-09 03:26:15+00
48,11,4621,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-09 07:52:43+00,2024-07-09 07:52:43+00
49,308,7046,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-09 15:01:31+00,2024-07-09 15:01:31+00
50,446,7526,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-09 23:23:43+00,2024-07-09 23:23:43+00
51,250,6134,1,Awful product,"Stopped working after two days, avoid!",2024-07-10 11:33:43+00,2024-07-10 11:33:43+00
52,191,3892,4,Very Good,"Good value for money, functions well.",2024-07-10 19:46:58+00,2024-07-10 19:46:58+00
53,149,9875,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-10 11:50:50+00,2024-07-10 11:50:50+00
54,478,6470,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-10 17:20:25+00,2024-07-10 17:20:25+00
55,448,9461,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-10 12:30:01+00,2024-07-10 12:30:01+00
56,470,5625,4,Very Good,"Good value for money, functions well.",2024-07-10 18:09:23+00,2024-07-10 18:09:23+00
57,32,5859,2,Disappointed,"Not as described, quality is subpar.",2024-07-10 09:52:25+00,2024-07-10 09:52:25+00
58,515,3895,4,Very Good,"Good value for money, functions well.",2024-07-10 20:16:32+00,2024-07-10 20:16:32+00
59,263,2775,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-10 05:45:57+00,2024-07-10 05:45:57+00
60,274,9485,3,Average,Decent but has some minor issues.,2024-07-10 08:15:23+00,2024-07-10 08:15:23+00
61,290,4905,4,Very Good,"Good value for money, functions well.",2024-07-10 17:01:01+00,2024-07-10 17:01:01+00
62,262,9059,2,Disappointed,"Not as described, quality is subpar.",2024-07-10 19:53:16+00,2024-07-10 19:53:16+00
63,362,6078,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-10 15:40:19+00,2024-07-10 15:40:19+00
64,252,9850,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-10 19:02:18+00,2024-07-10 19:02:18+00
65,272,8385,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-11 12:05:10+00,2024-07-11 12:05:10+00
66,84,3121,4,Very Good,"Good value for money, functions well.",2024-07-11 18:21:42+00,2024-07-11 18:21:42+00
67,283,3957,3,Average,Decent but has some minor issues.,2024-07-11 23:59:56+00,2024-07-11 23:59:56+00
68,196,2184,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-11 23:53:17+00,2024-07-11 23:53:17+00
69,349,6181,4,Very Good,"Good value for money, functions well.",2024-07-11 13:11:18+00,2024-07-11 13:11:18+00
70,77,3491,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-11 08:50:38+00,2024-07-11 08:50:38+00
71,497,1896,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-11 04:05:16+00,2024-07-11 04:05:16+00
72,35,5408,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-11 17:10:51+00,2024-07-11 17:10:51+00
73,14,8723,1,Awful product,"Stopped working after two days, avoid!",2024-07-11 12:47:13+00,2024-07-11 12:47:13+00
74,122,2481,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-11 08:45:56+00,2024-07-11 08:45:56+00
